element,terminal,node,status,source_ids,locator
EL2,heater_b,H2,Sourced,T70,four output valves
ROG2,a,DRIVEB,Sourced,T70,output grid stopper / W78 R107–R110 lead variant
ROG2,b,OG2,Sourced,T70,output grid stopper / W78 R107–R110 lead variant
ROS2,a,BSCREEN,Sourced,T70,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
ROS2,b,OS2,Sourced,T70,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
EL3,plate,OTB,Sourced,T70,four output valves
EL3,grid,OG2,Sourced,T70,four output valves
EL3,screen,OS2,Sourced,T70,four output valves
EL3,cathode,0,Sourced,T70,four output valves
EL3,suppressor,0,Sourced,T70,four output valves
EL3,heater_a,H1,Sourced,T70,four output valves
EL3,heater_b,H2,Sourced,T70,four output valves
ROG3,a,DRIVEB,Sourced,T70,output grid stopper / W78 R107–R110 lead variant
ROG3,b,OG3,Sourced,T70,output grid stopper / W78 R107–R110 lead variant
ROS3,a,BSCREEN,Sourced,T70,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
ROS3,b,OS3,Sourced,T70,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
EL4,plate,OTB,Sourced,T70,four output valves
EL4,grid,OG3,Sourced,T70,four output valves
EL4,screen,OS3,Sourced,T70,four output valves
EL4,cathode,0,Sourced,T70,four output valves
EL4,suppressor,0,Sourced,T70,four output valves
EL4,heater_a,H1,Sourced,T70,four output valves
EL4,heater_b,H2,Sourced,T70,four output valves
OT,primary_a,OTA,Assumed,ENG39,engineering completion
OT,primary_ct,BMAIN,Assumed,ENG39,engineering completion
OT,primary_b,OTB,Assumed,ENG39,engineering completion
OT,secondary_common,0,Assumed,ENG39,engineering completion
OT,secondary_4,SP4,Assumed,ENG39,engineering completion
OT,secondary_8,SP8,Assumed,ENG39,engineering completion
OT,secondary_16,SP16,Assumed,ENG39,engineering completion
OUTPUT_SELECT,common,SPEAKER,Assumed,ENG39,engineering completion
OUTPUT_SELECT,throw4,SP4,Assumed,ENG39,engineering completion
OUTPUT_SELECT,throw8,SP8,Assumed,ENG39,engineering completion
OUTPUT_SELECT,throw16,SP16,Assumed,ENG39,engineering completion
JOUT,tip,SPEAKER,Assumed,ENG39,engineering completion
JOUT,sleeve,0,Assumed,ENG39,engineering completion
LOAD,a,SPEAKER,Assumed,ENG39,engineering completion
LOAD,b,0,Assumed,ENG39,engineering completion
MAINS,positive,LIVE,Assumed,ENG39,engineering completion
MAINS,negative,NEUTRAL,Assumed,ENG39,engineering completion
FMAINS,a,LIVE,Assumed,ENG39,engineering completion
FMAINS,b,FUSED,Assumed,ENG39,engineering completion
POWER,common,FUSED,Assumed,ENG39,engineering completion
POWER,on,SWLIVE,Assumed,ENG39,engineering completion
PT,primary_a,SWLIVE,Assumed,ENG39,engineering completion
PT,primary_b,NEUTRAL,Assumed,ENG39,engineering completion
PT,ht_a,HTA,Assumed,ENG39,engineering completion
PT,ht_ct,HTCT,Assumed,ENG39,engineering completion
PT,ht_b,HTB,Assumed,ENG39,engineering completion
PT,bias,BIASAC,Assumed,ENG39,engineering completion
PT,bias_return,0,Assumed,ENG39,engineering completion
PT,heater_a,H1,Assumed,ENG39,engineering completion
PT,heater_b,H2,Assumed,ENG39,engineering completion
STANDBY_HTA,common,HTA,Assumed,ENG39,engineering completion
STANDBY_HTA,on,AC1,Assumed,ENG39,engineering completion
STANDBY_HTB,common,HTB,Assumed,ENG39,engineering completion
STANDBY_HTB,on,AC2,Assumed,ENG39,engineering completion
D1,anode,AC1,Assumed,ENG39,engineering completion
D1,cathode,RECT,Assumed,ENG39,engineering completion
D2,anode,AC2,Assumed,ENG39,engineering completion
D2,cathode,RECT,Assumed,ENG39,engineering completion
D3,anode,0,Assumed,ENG39,engineering completion
D3,cathode,AC1,Assumed,ENG39,engineering completion
D4,anode,0,Assumed,ENG39,engineering completion
D4,cathode,AC2,Assumed,ENG39,engineering completion
FHT,a,RECT,Assumed,ENG39,engineering completion
FHT,b,BMAIN,Assumed,ENG39,engineering completion
CRES1,a,BMAIN,Assumed,ENG39,engineering completion
CRES1,b,HTCT,Assumed,ENG39,engineering completion
CRES2,a,HTCT,Assumed,ENG39,engineering completion
CRES2,b,0,Assumed,ENG39,engineering completion
RBAL1,a,BMAIN,Assumed,ENG39,engineering completion
RBAL1,b,HTCT,Assumed,ENG39,engineering completion
RBAL2,a,HTCT,Assumed,ENG39,engineering completion
RBAL2,b,0,Assumed,ENG39,engineering completion
CHOKE,a,BMAIN,Assumed,ENG39;W78,engineering completion
CHOKE,b,BSCREEN,Assumed,ENG39;W78,engineering completion
CSCR1,a,BSCREEN,Assumed,ENG39,engineering completion
CSCR1,b,SCMID,Assumed,ENG39,engineering completion
CSCR2,a,SCMID,Assumed,ENG39,engineering completion
CSCR2,b,0,Assumed,ENG39,engineering completion
RSCRBAL1,a,BSCREEN,Assumed,ENG39,engineering completion
RSCRBAL1,b,SCMID,Assumed,ENG39,engineering completion
RSCRBAL2,a,SCMID,Assumed,ENG39,engineering completion
RSCRBAL2,b,0,Assumed,ENG39,engineering completion
RDPI,a,BSCREEN,Assumed,ENG39,engineering completion
RDPI,b,BPI,Assumed,ENG39,engineering completion
CBPI,a,BPI,Assumed,ENG39,engineering completion
CBPI,b,0,Assumed,ENG39,engineering completion
RDDRIVER,a,BPI,Assumed,ENG39,engineering completion
RDDRIVER,b,BDRIVER,Assumed,ENG39,engineering completion
CSDRIVER,a,BDRIVER,Assumed,ENG39,engineering completion
CSDRIVER,b,0,Assumed,ENG39,engineering completion
RDINPUT,a,BDRIVER,Assumed,ENG39,engineering completion
RDINPUT,b,BINPUT,Assumed,ENG39,engineering completion
CSINPUT,a,BINPUT,Assumed,ENG39,engineering completion
CSINPUT,b,0,Assumed,ENG39,engineering completion
RDEXTRA,a,BDRIVER,Assumed,ENG39,engineering completion
RDEXTRA,b,BEXTRA,Assumed,ENG39,engineering completion
CSEXTRA,a,BEXTRA,Assumed,ENG39,engineering completion
CSEXTRA,b,0,Assumed,ENG39,engineering completion
RBIASFEED,a,BIASAC,Assumed,ENG39,engineering completion
RBIASFEED,b,BDIODE,Assumed,ENG39,engineering completion
DBIAS,anode,BNEG,Assumed,ENG39,engineering completion
DBIAS,cathode,BDIODE,Assumed,ENG39,engineering completion
CBIAS1,a,0,Assumed,ENG39,engineering completion
CBIAS1,b,BNEG,Assumed,ENG39,engineering completion
RBIASFILT,a,BNEG,Assumed,ENG39,engineering completion
RBIASFILT,b,BIAS,Assumed,ENG39,engineering completion
CBIAS2,a,0,Assumed,ENG39,engineering completion
CBIAS2,b,BIAS,Assumed,ENG39,engineering completion
RBIASSET,a,BIAS,Assumed,ENG39,engineering completion
RBIASSET,b,BADJ,Assumed,ENG39,engineering completion
BIAS_ADJ,top,BADJ,Assumed,ENG39,engineering completion
BIAS_ADJ,wiper,BADJ,Assumed,ENG39,engineering completion
BIAS_ADJ,bottom,0,Assumed,ENG39,engineering completion
RH1,a,H1,Assumed,ENG39,engineering completion
RH1,b,0,Assumed,ENG39,engineering completion
RH2,a,H2,Assumed,ENG39,engineering completion
RH2,b,0,Assumed,ENG39,engineering completion
LAMP,a,H1,Assumed,ENG39,engineering completion
LAMP,b,H2,Assumed,ENG39,engineering completion
CHASSIS,a,PE,Assumed,ENG39,engineering completion
CHASSIS,b,0,Assumed,ENG39,engineering completion
EARTH,earth,PE,Assumed,ENG39,engineering completion
SPARE,plate,NC_SPARE_P,Assumed,ENG39,engineering completion
SPARE,grid,0,Assumed,ENG39,engineering completion
SPARE,cathode,0,Assumed,ENG39,engineering completion
SPARE,heater_a,H1,Assumed,ENG39,engineering completion
SPARE,heater_b,H2,Assumed,ENG39,engineering completion
