id,block,kind,pins,value,unit,value_status,connection_status,source_ids,source_locator,rationale,historical_status
RP3,preamp,resistor,"{""a"": ""BEXTRA"", ""b"": ""P3""}",100000,ohm,Assumed,Assumed,ENG36,gain stage 3 plate load,Explicit candidate choice; original specimen unverified.,Unresolved
RK3,preamp,resistor,"{""a"": ""K3"", ""b"": ""0""}",3300,ohm,Assumed,Assumed,ENG36,ENG36 added-stage cathode hypothesis,Explicit candidate choice; original specimen unverified.,Unresolved
CK3,preamp,capacitor,"{""a"": ""K3"", ""b"": ""0""}",6.8e-07,F,Assumed,Assumed,ENG36,gain stage 3 cathode bypass,Explicit candidate choice; original specimen unverified.,Unresolved
CC3,preamp,capacitor,"{""a"": ""P3"", ""b"": ""C3""}",2.2e-08,F,Assumed,Assumed,ENG36,gain stage 3 output coupling,Explicit candidate choice; original specimen unverified.,Unresolved
V2A,preamp,triode,"{""plate"": ""P4"", ""grid"": ""G4"", ""cathode"": ""K4"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,Voltage-gain stage 4; valve allocation assumed; nonlinear device equations and calibrated parameters unresolved.,Unresolved
RP4,preamp,resistor,"{""a"": ""BDRIVER"", ""b"": ""P4""}",100000,ohm,Sourced,Assumed,P78,gain stage 4 plate load,Explicit candidate choice; original specimen unverified.,Unresolved
RK4,preamp,resistor,"{""a"": ""K4"", ""b"": ""0""}",820,ohm,Sourced,Assumed,P78,P78 gain-stage cathode network,Explicit candidate choice; original specimen unverified.,Unresolved
R12,preamp,resistor,"{""a"": ""C1"", ""b"": ""A12""}",470000,ohm,Assumed,Assumed,ENG36,"ENG36 interstage 470k arm",Explicit candidate choice; original specimen unverified.,Unresolved
CB12,preamp,capacitor,"{""a"": ""C1"", ""b"": ""A12""}",4.7e-10,F,Assumed,Assumed,ENG36,interstage treble bypass,Explicit candidate choice; original specimen unverified.,Unresolved
GAIN,preamp,potentiometer,"{""top"": ""A12"", ""wiper"": ""G2"", ""bottom"": ""0""}","{""resistance_ohm"": 1000000.0, ""taper"": ""log"", ""position"": 0.5, ""wiper_fraction"": 0.1}",,Assumed,Assumed,ENG36,engineering completion,Log taper numerical law assumed; physical taper unresolved.,Unresolved
CGAIN,preamp,capacitor,"{""a"": ""A12"", ""b"": ""G2""}",4.7e-10,F,Assumed,Assumed,ENG36,gain pot top-to-wiper bypass,Explicit candidate choice; original specimen unverified.,Unresolved
R23,preamp,resistor,"{""a"": ""C2"", ""b"": ""G3""}",470000,ohm,Assumed,Assumed,ENG36,post-second-stage series arm,Explicit candidate choice; original specimen unverified.,Unresolved
RG3,preamp,resistor,"{""a"": ""G3"", ""b"": ""0""}",470000,ohm,Assumed,Assumed,ENG36,post-second-stage shunt arm,Explicit candidate choice; original specimen unverified.,Unresolved
CB23,preamp,capacitor,"{""a"": ""C2"", ""b"": ""G3""}",4.7e-10,F,Assumed,Assumed,ENG36,post-second-stage bypass,Explicit candidate choice; original specimen unverified.,Unresolved
R34,preamp,resistor,"{""a"": ""C3"", ""b"": ""G4""}",470000,ohm,Assumed,Assumed,ENG36,post-third-stage series arm,Explicit candidate choice; original specimen unverified.,Unresolved
RG4,preamp,resistor,"{""a"": ""G4"", ""b"": ""0""}",470000,ohm,Assumed,Assumed,ENG36,post-third-stage shunt arm,Explicit candidate choice; original specimen unverified.,Unresolved
CB34,preamp,capacitor,"{""a"": ""C3"", ""b"": ""G4""}",4.7e-10,F,Assumed,Assumed,ENG36,post-third-stage bypass,Explicit candidate choice; original specimen unverified.,Unresolved
V2B,preamp,triode,"{""plate"": ""BDRIVER"", ""grid"": ""P4"", ""cathode"": ""CF"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,DC-coupled cathode follower; nonlinear device equations and calibrated parameters unresolved.,Unresolved
RCF,preamp,resistor,"{""a"": ""CF"", ""b"": ""0""}",100000,ohm,Sourced,Assumed,L70,tone driver cathode follower,Explicit candidate choice; original specimen unverified.,Unresolved
RSLOPE,preamp,resistor,"{""a"": ""CF"", ""b"": ""TS""}",33000,ohm,Sourced,Assumed,L70,tone slope resistor,Explicit candidate choice; original specimen unverified.,Unresolved
CTREB,preamp,capacitor,"{""a"": ""CF"", ""b"": ""TT""}",4.7e-10,F,Sourced,Assumed,P78,tone treble capacitor,Explicit candidate choice; original specimen unverified.,Unresolved
CBASS,preamp,capacitor,"{""a"": ""TS"", ""b"": ""TB""}",2.2e-08,F,Sourced,Assumed,L70,tone bass capacitor,Explicit candidate choice; original specimen unverified.,Unresolved
CMID,preamp,capacitor,"{""a"": ""TS"", ""b"": ""TM""}",2.2e-08,F,Sourced,Assumed,L70,tone middle capacitor,Explicit candidate choice; original specimen unverified.,Unresolved
BASS,preamp,potentiometer,"{""top"": ""TB"", ""wiper"": ""TB"", ""bottom"": ""TM""}","{""resistance_ohm"": 1000000.0, ""taper"": ""log"", ""position"": 0.5, ""wiper_fraction"": 0.1}",,Sourced,Assumed,L70,bass pot; top/wiper tied in candidate,Explicit candidate choice; original specimen unverified.,Unresolved
MID,preamp,potentiometer,"{""top"": ""TM"", ""wiper"": ""TM"", ""bottom"": ""0""}","{""resistance_ohm"": 25000, ""taper"": ""linear"", ""position"": 0.5, ""wiper_fraction"": 0.5}",,Sourced,Assumed,L70,middle pot; top/wiper tied,Explicit candidate choice; original specimen unverified.,Unresolved
TREBLE,preamp,potentiometer,"{""top"": ""TT"", ""wiper"": ""TONE"", ""bottom"": ""TB""}","{""resistance_ohm"": 250000, ""taper"": ""linear"", ""position"": 0.5, ""wiper_fraction"": 0.5}",,Sourced,Assumed,L70,treble potentiometer,Explicit candidate choice; original specimen unverified.,Unresolved
MASTER,preamp,potentiometer,"{""top"": ""TONE"", ""wiper"": ""MASTEROUT"", ""bottom"": ""0""}","{""resistance_ohm"": 1000000.0, ""taper"": ""log"", ""position"": 0.5, ""wiper_fraction"": 0.1}",,Assumed,Assumed,ENG36,pre-phase-inverter master,Explicit candidate choice; original specimen unverified.,Unresolved
CPI,power,capacitor,"{""a"": ""MASTEROUT"", ""b"": ""PIG1""}",2.2e-08,F,Sourced,Assumed,W78,phase-inverter input capacitor,Master insertion into this stock input is assumed.,Unresolved
V3A,preamp,triode,"{""plate"": ""PIPA"", ""grid"": ""PIG1"", ""cathode"": ""PIK"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,Phase inverter first half; nonlinear device equations and calibrated parameters unresolved.,Unresolved
V3B,preamp,triode,"{""plate"": ""PIPB"", ""grid"": ""PIG2"", ""cathode"": ""PIK"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,Phase inverter second half; nonlinear device equations and calibrated parameters unresolved.,Unresolved
RPIA,power,resistor,"{""a"": ""BPI"", ""b"": ""PIPA""}",82000,ohm,Sourced,Sourced,W78,PI 82k load / W78 R21,Explicit candidate choice; original specimen unverified.,Unresolved
RPIB,power,resistor,"{""a"": ""BPI"", ""b"": ""PIPB""}",100000,ohm,Sourced,Sourced,W78,PI 100k load / W78 R22,Explicit candidate choice; original specimen unverified.,Unresolved
RPIK,power,resistor,"{""a"": ""PIK"", ""b"": ""PIREF""}",470,ohm,Sourced,Sourced,W78,PI shared 470-ohm cathode / W78 R17,Explicit candidate choice; original specimen unverified.,Unresolved
RPIG1,power,resistor,"{""a"": ""PIG1"", ""b"": ""PIREF""}",1000000.0,ohm,Sourced,Sourced,W78,PI grid leak / W78 R16,Explicit candidate choice; original specimen unverified.,Unresolved
RPIG2,power,resistor,"{""a"": ""PIG2"", ""b"": ""PIREF""}",1000000.0,ohm,Sourced,Sourced,W78,PI grid leak / W78 R18,Explicit candidate choice; original specimen unverified.,Unresolved
RPITAIL,power,resistor,"{""a"": ""PIREF"", ""b"": ""NFB""}",10000,ohm,Sourced,Sourced,W78,PI tail / W78 R19,Explicit candidate choice; original specimen unverified.,Unresolved
CPIG2,power,capacitor,"{""a"": ""PIG2"", ""b"": ""0""}",1e-07,F,Sourced,Sourced,W78,PI reference grid bypass / W78 C11,Explicit candidate choice; original specimen unverified.,Unresolved
CPISNUB,power,capacitor,"{""a"": ""PIPA"", ""b"": ""PIPB""}",4.7e-11,F,Sourced,Sourced,W78,PI plate-to-plate capacitor / W78 C13,Explicit candidate choice; original specimen unverified.,Unresolved
CPA,power,capacitor,"{""a"": ""PIPA"", ""b"": ""DRIVEA""}",2.2e-08,F,Sourced,Sourced,W78,output coupling / W78 C12,Explicit candidate choice; original specimen unverified.,Unresolved
CPB,power,capacitor,"{""a"": ""PIPB"", ""b"": ""DRIVEB""}",2.2e-08,F,Sourced,Sourced,W78,output coupling / W78 C14,Explicit candidate choice; original specimen unverified.,Unresolved
RBIASA,power,resistor,"{""a"": ""DRIVEA"", ""b"": ""BIAS""}",220000,ohm,Sourced,Sourced,W78,bias grid leak / W78 R23,Explicit candidate choice; original specimen unverified.,Unresolved
RBIASB,power,resistor,"{""a"": ""DRIVEB"", ""b"": ""BIAS""}",220000,ohm,Sourced,Sourced,W78,bias grid leak / W78 R24,Explicit candidate choice; original specimen unverified.,Unresolved
RNFB,power,resistor,"{""a"": ""SP4"", ""b"": ""NFB""}",100000,ohm,Sourced,Assumed,W78,feedback resistor; selected source alternative/tap,100k value follows W78; the SP4 feedback-tap connection is a candidate assumption and loop polarity still requires simulation validation.,Unresolved
RNFBG,power,resistor,"{""a"": ""NFB"", ""b"": ""0""}",4700,ohm,Sourced,Sourced,W78,W78 R106,Explicit candidate choice; original specimen unverified.,Unresolved
PRESENCE,power,potentiometer,"{""top"": ""NFB"", ""wiper"": ""NFB"", ""bottom"": ""PRESC""}","{""resistance_ohm"": 25000, ""taper"": ""linear"", ""position"": 0.5, ""wiper_fraction"": 0.5}",,Sourced,Assumed,W78,VR6 rheostat; top/wiper tied,Explicit candidate choice; original specimen unverified.,Unresolved
CPRES,power,capacitor,"{""a"": ""PRESC"", ""b"": ""0""}",1e-07,F,Sourced,Sourced,W78,presence capacitor / W78 C110,Explicit candidate choice; original specimen unverified.,Unresolved
ROG0,power,resistor,"{""a"": ""DRIVEA"", ""b"": ""OG0""}",5600,ohm,Sourced,Sourced,W78,output grid stopper / W78 R107–R110 lead variant,Explicit candidate choice; original specimen unverified.,Unresolved
ROS0,power,resistor,"{""a"": ""BSCREEN"", ""b"": ""OS0""}",1000,ohm,Assumed,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice,Explicit candidate choice; original specimen unverified.,Unresolved
EL1,power,pentode,"{""plate"": ""OTA"", ""grid"": ""OG0"", ""screen"": ""OS0"", ""cathode"": ""0"", ""suppressor"": ""0"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""EL34""",,Sourced,Sourced,W78,four output valves,EL34 selected; original specimen type and calibrated device law unresolved.,Unresolved
ROG1,power,resistor,"{""a"": ""DRIVEA"", ""b"": ""OG1""}",5600,ohm,Sourced,Sourced,W78,output grid stopper / W78 R107–R110 lead variant,Explicit candidate choice; original specimen unverified.,Unresolved
ROS1,power,resistor,"{""a"": ""BSCREEN"", ""b"": ""OS1""}",1000,ohm,Assumed,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice,Explicit candidate choice; original specimen unverified.,Unresolved
EL2,power,pentode,"{""plate"": ""OTA"", ""grid"": ""OG1"", ""screen"": ""OS1"", ""cathode"": ""0"", ""suppressor"": ""0"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""EL34""",,Sourced,Sourced,W78,four output valves,EL34 selected; original specimen type and calibrated device law unresolved.,Unresolved
ROG2,power,resistor,"{""a"": ""DRIVEB"", ""b"": ""OG2""}",5600,ohm,Sourced,Sourced,W78,output grid stopper / W78 R107–R110 lead variant,Explicit candidate choice; original specimen unverified.,Unresolved
ROS2,power,resistor,"{""a"": ""BSCREEN"", ""b"": ""OS2""}",1000,ohm,Assumed,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice,Explicit candidate choice; original specimen unverified.,Unresolved
EL3,power,pentode,"{""plate"": ""OTB"", ""grid"": ""OG2"", ""screen"": ""OS2"", ""cathode"": ""0"", ""suppressor"": ""0"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""EL34""",,Sourced,Sourced,W78,four output valves,EL34 selected; original specimen type and calibrated device law unresolved.,Unresolved
ROG3,power,resistor,"{""a"": ""DRIVEB"", ""b"": ""OG3""}",5600,ohm,Sourced,Sourced,W78,output grid stopper / W78 R107–R110 lead variant,Explicit candidate choice; original specimen unverified.,Unresolved
ROS3,power,resistor,"{""a"": ""BSCREEN"", ""b"": ""OS3""}",1000,ohm,Assumed,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice,Explicit candidate choice; original specimen unverified.,Unresolved
EL4,power,pentode,"{""plate"": ""OTB"", ""grid"": ""OG3"", ""screen"": ""OS3"", ""cathode"": ""0"", ""suppressor"": ""0"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""EL34""",,Sourced,Sourced,W78,four output valves,EL34 selected; original specimen type and calibrated device law unresolved.,Unresolved
OT,power,transformer,"{""primary_a"": ""OTA"", ""primary_ct"": ""BMAIN"", ""primary_b"": ""OTB"", ""secondary_common"": ""0"", ""secondary_4"": ""SP4"", ""secondary_8"": ""SP8"", ""secondary_16"": ""SP16""}","{""primary_impedance_ohm"": 1750, ""secondary_taps_ohm"": [4, 8, 16], ""primary_dc_ohm_per_half"": 20, ""magnetizing_H"": 30, ""leakage_H"": 0.005, ""core_model"": null, ""winding_capacitances"": null}",,Assumed,Assumed,ENG36,engineering completion,Assumed lumped 100W transformer parameters; full-primary inductance and leakage referred to full primary. Core and capacitance remain unresolved.,Unresolved
OUTPUT_SELECT,power,switch,"{""common"": ""SPEAKER"", ""throw4"": ""SP4"", ""throw8"": ""SP8"", ""throw16"": ""SP16""}","{""selected"": ""throw16""}",,Assumed,Assumed,ENG36,engineering completion,16-ohm selected; output selector contact map is an implementation assumption.,Unresolved
JOUT,power,port,"{""tip"": ""SPEAKER"", ""sleeve"": ""0""}","""speaker output""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
LOAD,test_fixture,resistor,"{""a"": ""SPEAKER"", ""b"": ""0""}",16,ohm,Assumed,Assumed,ENG36,engineering completion,"Explicit bench resistor, not a cabinet or historical speaker model.",Unresolved
MAINS,supply,voltage_source,"{""positive"": ""LIVE"", ""negative"": ""NEUTRAL""}","{""rms_V"": 120, ""Hz"": 60}",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
FMAINS,supply,fuse,"{""a"": ""LIVE"", ""b"": ""FUSED""}","{""rating_A"": 4, ""state"": ""closed"", ""resistance_ohm"": 0.01}",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
POWER,supply,switch,"{""common"": ""FUSED"", ""on"": ""SWLIVE""}","{""selected"": ""on""}",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
PT,supply,transformer,"{""primary_a"": ""SWLIVE"", ""primary_b"": ""NEUTRAL"", ""ht_a"": ""HTA"", ""ht_ct"": ""HTCT"", ""ht_b"": ""HTB"", ""bias"": ""BIASAC"", ""bias_return"": ""0"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","{""primary_rms_V"": 120, ""ht_end_to_end_rms_V"": 350, ""bias_rms_V"": 100, ""heater_rms_V"": 6.3, ""ht_series_ohm"": 60, ""magnetizing_H"": 20, ""core_model"": null}",,Assumed,Assumed,ENG36,engineering completion,Assumed transformer; split HT winding with CT at reservoir midpoint; winding sag parameters unmeasured.,Unresolved
STANDBY_HTA,supply,switch,"{""common"": ""HTA"", ""on"": ""AC1""}","{""selected"": ""on""}",,Assumed,Assumed,ENG36,engineering completion,"Ganged two-pole standby, closed playing state.",Unresolved
STANDBY_HTB,supply,switch,"{""common"": ""HTB"", ""on"": ""AC2""}","{""selected"": ""on""}",,Assumed,Assumed,ENG36,engineering completion,"Ganged two-pole standby, closed playing state.",Unresolved
D1,supply,diode,"{""anode"": ""AC1"", ""cathode"": ""RECT""}","""silicon_rectifier_model_unresolved""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
D2,supply,diode,"{""anode"": ""AC2"", ""cathode"": ""RECT""}","""silicon_rectifier_model_unresolved""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
D3,supply,diode,"{""anode"": ""0"", ""cathode"": ""AC1""}","""silicon_rectifier_model_unresolved""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
D4,supply,diode,"{""anode"": ""0"", ""cathode"": ""AC2""}","""silicon_rectifier_model_unresolved""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
FHT,supply,fuse,"{""a"": ""RECT"", ""b"": ""BMAIN""}","{""rating_A"": 1, ""state"": ""closed"", ""resistance_ohm"": 0.01}",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CRES1,supply,capacitor,"{""a"": ""BMAIN"", ""b"": ""HTCT""}",0.0001,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CRES2,supply,capacitor,"{""a"": ""HTCT"", ""b"": ""0""}",0.0001,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RBAL1,supply,resistor,"{""a"": ""BMAIN"", ""b"": ""HTCT""}",220000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RBAL2,supply,resistor,"{""a"": ""HTCT"", ""b"": ""0""}",220000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CHOKE,supply,inductor,"{""a"": ""BMAIN"", ""b"": ""BSCREEN""}","{""H"": 3, ""series_ohm"": 100, ""saturation"": null}",,Assumed,Assumed,ENG36;W78,engineering completion,Choke included as W78-type engineering choice; #39 T70 mapping not asserted; inductance/DCR assumed.,Unresolved
CSCR1,supply,capacitor,"{""a"": ""BSCREEN"", ""b"": ""SCMID""}",0.0001,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CSCR2,supply,capacitor,"{""a"": ""SCMID"", ""b"": ""0""}",0.0001,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RSCRBAL1,supply,resistor,"{""a"": ""BSCREEN"", ""b"": ""SCMID""}",56000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RSCRBAL2,supply,resistor,"{""a"": ""SCMID"", ""b"": ""0""}",56000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RDPI,supply,resistor,"{""a"": ""BSCREEN"", ""b"": ""BPI""}",20000,ohm,Assumed,Assumed,ENG36,engineering completion,"20k candidate PI supply drop, not a verified specimen value.",Unresolved
CBPI,supply,capacitor,"{""a"": ""BPI"", ""b"": ""0""}",0.0001,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RDDRIVER,supply,resistor,"{""a"": ""BPI"", ""b"": ""BDRIVER""}",10000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CSDRIVER,supply,capacitor,"{""a"": ""BDRIVER"", ""b"": ""0""}",5e-05,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RDINPUT,supply,resistor,"{""a"": ""BDRIVER"", ""b"": ""BINPUT""}",10000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CSINPUT,supply,capacitor,"{""a"": ""BINPUT"", ""b"": ""0""}",5e-05,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RDEXTRA,supply,resistor,"{""a"": ""BDRIVER"", ""b"": ""BEXTRA""}",10000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CSEXTRA,supply,capacitor,"{""a"": ""BEXTRA"", ""b"": ""0""}",4.7e-05,F,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RBIASFEED,supply,resistor,"{""a"": ""BIASAC"", ""b"": ""BDIODE""}",27000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
DBIAS,supply,diode,"{""anode"": ""BNEG"", ""cathode"": ""BDIODE""}","""silicon_rectifier_model_unresolved""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CBIAS1,supply,capacitor,"{""a"": ""0"", ""b"": ""BNEG""}",1e-05,F,Assumed,Assumed,ENG36,engineering completion,Electrolytic positive at ground.,Unresolved
RBIASFILT,supply,resistor,"{""a"": ""BNEG"", ""b"": ""BIAS""}",15000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CBIAS2,supply,capacitor,"{""a"": ""0"", ""b"": ""BIAS""}",1e-05,F,Assumed,Assumed,ENG36,engineering completion,Electrolytic positive at ground.,Unresolved
RBIASSET,supply,resistor,"{""a"": ""BIAS"", ""b"": ""BADJ""}",56000,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
BIAS_ADJ,supply,potentiometer,"{""top"": ""BADJ"", ""wiper"": ""BADJ"", ""bottom"": ""0""}","{""resistance_ohm"": 25000, ""taper"": ""linear"", ""position"": 0.5, ""wiper_fraction"": 0.5}",,Assumed,Assumed,ENG36,engineering completion,Numerical midpoint only; must adjust against measured plate current before audio validation.,Unresolved
RH1,supply,resistor,"{""a"": ""H1"", ""b"": ""0""}",100,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
RH2,supply,resistor,"{""a"": ""H2"", ""b"": ""0""}",100,ohm,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
LAMP,supply,lamp,"{""a"": ""H1"", ""b"": ""H2""}","{""rated_V"": 6.3, ""hot_resistance_ohm"": 42}",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
CHASSIS,supply,bond,"{""a"": ""PE"", ""b"": ""0""}",0,ohm,Assumed,Assumed,ENG36,engineering completion,Ideal chassis/signal-ground bond; protective earth terminal not an audio signal input.,Unresolved
EARTH,supply,port,"{""earth"": ""PE""}","""protective earth boundary""",,Assumed,Assumed,ENG36,engineering completion,Explicit candidate choice; original specimen unverified.,Unresolved
SPARE,hardware,unused_triode,"{""plate"": ""NC_SPARE_P"", ""grid"": ""0"", ""cathode"": ""0"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36,engineering completion,One spare half: V1B in #39; VX_B in #36. Assumed isolation with plate explicitly NC; leakage/parasitics excluded.,Unresolved
