element,terminal,node,status,source_ids,locator
RSLOPE,a,CF,Assumed,L70,tone slope resistor
RSLOPE,b,TS,Assumed,L70,tone slope resistor
CTREB,a,CF,Assumed,P78,tone treble capacitor
CTREB,b,TT,Assumed,P78,tone treble capacitor
CBASS,a,TS,Assumed,L70,tone bass capacitor
CBASS,b,TB,Assumed,L70,tone bass capacitor
CMID,a,TS,Assumed,L70,tone middle capacitor
CMID,b,TM,Assumed,L70,tone middle capacitor
BASS,top,TB,Assumed,L70,bass pot; top/wiper tied in candidate
BASS,wiper,TB,Assumed,L70,bass pot; top/wiper tied in candidate
BASS,bottom,TM,Assumed,L70,bass pot; top/wiper tied in candidate
MID,top,TM,Assumed,L70,middle pot; top/wiper tied
MID,wiper,TM,Assumed,L70,middle pot; top/wiper tied
MID,bottom,0,Assumed,L70,middle pot; top/wiper tied
TREBLE,top,TT,Assumed,L70,treble potentiometer
TREBLE,wiper,TONE,Assumed,L70,treble potentiometer
TREBLE,bottom,TB,Assumed,L70,treble potentiometer
MASTER,top,TONE,Assumed,ENG36,pre-phase-inverter master
MASTER,wiper,MASTEROUT,Assumed,ENG36,pre-phase-inverter master
MASTER,bottom,0,Assumed,ENG36,pre-phase-inverter master
CPI,a,MASTEROUT,Assumed,W78,phase-inverter input capacitor
CPI,b,PIG1,Assumed,W78,phase-inverter input capacitor
V3A,plate,PIPA,Assumed,ENG36;L70,engineering completion
V3A,grid,PIG1,Assumed,ENG36;L70,engineering completion
V3A,cathode,PIK,Assumed,ENG36;L70,engineering completion
V3A,heater_a,H1,Assumed,ENG36;L70,engineering completion
V3A,heater_b,H2,Assumed,ENG36;L70,engineering completion
V3B,plate,PIPB,Assumed,ENG36;L70,engineering completion
V3B,grid,PIG2,Assumed,ENG36;L70,engineering completion
V3B,cathode,PIK,Assumed,ENG36;L70,engineering completion
V3B,heater_a,H1,Assumed,ENG36;L70,engineering completion
V3B,heater_b,H2,Assumed,ENG36;L70,engineering completion
RPIA,a,BPI,Sourced,W78,PI 82k load / W78 R21
RPIA,b,PIPA,Sourced,W78,PI 82k load / W78 R21
RPIB,a,BPI,Sourced,W78,PI 100k load / W78 R22
RPIB,b,PIPB,Sourced,W78,PI 100k load / W78 R22
RPIK,a,PIK,Sourced,W78,PI shared 470-ohm cathode / W78 R17
RPIK,b,PIREF,Sourced,W78,PI shared 470-ohm cathode / W78 R17
RPIG1,a,PIG1,Sourced,W78,PI grid leak / W78 R16
RPIG1,b,PIREF,Sourced,W78,PI grid leak / W78 R16
RPIG2,a,PIG2,Sourced,W78,PI grid leak / W78 R18
RPIG2,b,PIREF,Sourced,W78,PI grid leak / W78 R18
RPITAIL,a,PIREF,Sourced,W78,PI tail / W78 R19
RPITAIL,b,NFB,Sourced,W78,PI tail / W78 R19
CPIG2,a,PIG2,Sourced,W78,PI reference grid bypass / W78 C11
CPIG2,b,0,Sourced,W78,PI reference grid bypass / W78 C11
CPISNUB,a,PIPA,Sourced,W78,PI plate-to-plate capacitor / W78 C13
CPISNUB,b,PIPB,Sourced,W78,PI plate-to-plate capacitor / W78 C13
CPA,a,PIPA,Sourced,W78,output coupling / W78 C12
CPA,b,DRIVEA,Sourced,W78,output coupling / W78 C12
CPB,a,PIPB,Sourced,W78,output coupling / W78 C14
CPB,b,DRIVEB,Sourced,W78,output coupling / W78 C14
RBIASA,a,DRIVEA,Sourced,W78,bias grid leak / W78 R23
RBIASA,b,BIAS,Sourced,W78,bias grid leak / W78 R23
RBIASB,a,DRIVEB,Sourced,W78,bias grid leak / W78 R24
RBIASB,b,BIAS,Sourced,W78,bias grid leak / W78 R24
RNFB,a,SP4,Assumed,W78,feedback resistor; selected source alternative/tap
RNFB,b,NFB,Assumed,W78,feedback resistor; selected source alternative/tap
RNFBG,a,NFB,Sourced,W78,W78 R106
RNFBG,b,0,Sourced,W78,W78 R106
PRESENCE,top,NFB,Assumed,W78,VR6 rheostat; top/wiper tied
PRESENCE,wiper,NFB,Assumed,W78,VR6 rheostat; top/wiper tied
PRESENCE,bottom,PRESC,Assumed,W78,VR6 rheostat; top/wiper tied
CPRES,a,PRESC,Sourced,W78,presence capacitor / W78 C110
CPRES,b,0,Sourced,W78,presence capacitor / W78 C110
ROG0,a,DRIVEA,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROG0,b,OG0,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROS0,a,BSCREEN,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
ROS0,b,OS0,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
EL1,plate,OTA,Sourced,W78,four output valves
EL1,grid,OG0,Sourced,W78,four output valves
EL1,screen,OS0,Sourced,W78,four output valves
EL1,cathode,0,Sourced,W78,four output valves
EL1,suppressor,0,Sourced,W78,four output valves
EL1,heater_a,H1,Sourced,W78,four output valves
EL1,heater_b,H2,Sourced,W78,four output valves
ROG1,a,DRIVEA,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROG1,b,OG1,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROS1,a,BSCREEN,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
ROS1,b,OS1,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
EL2,plate,OTA,Sourced,W78,four output valves
EL2,grid,OG1,Sourced,W78,four output valves
EL2,screen,OS1,Sourced,W78,four output valves
EL2,cathode,0,Sourced,W78,four output valves
EL2,suppressor,0,Sourced,W78,four output valves
EL2,heater_a,H1,Sourced,W78,four output valves
EL2,heater_b,H2,Sourced,W78,four output valves
ROG2,a,DRIVEB,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROG2,b,OG2,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROS2,a,BSCREEN,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
ROS2,b,OS2,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
EL3,plate,OTB,Sourced,W78,four output valves
EL3,grid,OG2,Sourced,W78,four output valves
EL3,screen,OS2,Sourced,W78,four output valves
EL3,cathode,0,Sourced,W78,four output valves
EL3,suppressor,0,Sourced,W78,four output valves
EL3,heater_a,H1,Sourced,W78,four output valves
EL3,heater_b,H2,Sourced,W78,four output valves
ROG3,a,DRIVEB,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROG3,b,OG3,Sourced,W78,output grid stopper / W78 R107–R110 lead variant
ROS3,a,BSCREEN,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
ROS3,b,OS3,Sourced,W78,screen resistor; W78 USA 1k variant chosen with EL34 as engineering protection choice
EL4,plate,OTB,Sourced,W78,four output valves
EL4,grid,OG3,Sourced,W78,four output valves
EL4,screen,OS3,Sourced,W78,four output valves
EL4,cathode,0,Sourced,W78,four output valves
EL4,suppressor,0,Sourced,W78,four output valves
EL4,heater_a,H1,Sourced,W78,four output valves
EL4,heater_b,H2,Sourced,W78,four output valves
OT,primary_a,OTA,Assumed,ENG36,engineering completion
OT,primary_ct,BMAIN,Assumed,ENG36,engineering completion
OT,primary_b,OTB,Assumed,ENG36,engineering completion
OT,secondary_common,0,Assumed,ENG36,engineering completion
OT,secondary_4,SP4,Assumed,ENG36,engineering completion
OT,secondary_8,SP8,Assumed,ENG36,engineering completion
OT,secondary_16,SP16,Assumed,ENG36,engineering completion
OUTPUT_SELECT,common,SPEAKER,Assumed,ENG36,engineering completion
OUTPUT_SELECT,throw4,SP4,Assumed,ENG36,engineering completion
OUTPUT_SELECT,throw8,SP8,Assumed,ENG36,engineering completion
OUTPUT_SELECT,throw16,SP16,Assumed,ENG36,engineering completion
JOUT,tip,SPEAKER,Assumed,ENG36,engineering completion
JOUT,sleeve,0,Assumed,ENG36,engineering completion
LOAD,a,SPEAKER,Assumed,ENG36,engineering completion
LOAD,b,0,Assumed,ENG36,engineering completion
MAINS,positive,LIVE,Assumed,ENG36,engineering completion
MAINS,negative,NEUTRAL,Assumed,ENG36,engineering completion
FMAINS,a,LIVE,Assumed,ENG36,engineering completion
FMAINS,b,FUSED,Assumed,ENG36,engineering completion
POWER,common,FUSED,Assumed,ENG36,engineering completion
POWER,on,SWLIVE,Assumed,ENG36,engineering completion
PT,primary_a,SWLIVE,Assumed,ENG36,engineering completion
PT,primary_b,NEUTRAL,Assumed,ENG36,engineering completion
PT,ht_a,HTA,Assumed,ENG36,engineering completion
PT,ht_ct,HTCT,Assumed,ENG36,engineering completion
PT,ht_b,HTB,Assumed,ENG36,engineering completion
PT,bias,BIASAC,Assumed,ENG36,engineering completion
PT,bias_return,0,Assumed,ENG36,engineering completion
PT,heater_a,H1,Assumed,ENG36,engineering completion
PT,heater_b,H2,Assumed,ENG36,engineering completion
STANDBY_HTA,common,HTA,Assumed,ENG36,engineering completion
STANDBY_HTA,on,AC1,Assumed,ENG36,engineering completion
STANDBY_HTB,common,HTB,Assumed,ENG36,engineering completion
STANDBY_HTB,on,AC2,Assumed,ENG36,engineering completion
D1,anode,AC1,Assumed,ENG36,engineering completion
D1,cathode,RECT,Assumed,ENG36,engineering completion
D2,anode,AC2,Assumed,ENG36,engineering completion
D2,cathode,RECT,Assumed,ENG36,engineering completion
D3,anode,0,Assumed,ENG36,engineering completion
D3,cathode,AC1,Assumed,ENG36,engineering completion
D4,anode,0,Assumed,ENG36,engineering completion
D4,cathode,AC2,Assumed,ENG36,engineering completion
FHT,a,RECT,Assumed,ENG36,engineering completion
FHT,b,BMAIN,Assumed,ENG36,engineering completion
CRES1,a,BMAIN,Assumed,ENG36,engineering completion
CRES1,b,HTCT,Assumed,ENG36,engineering completion
CRES2,a,HTCT,Assumed,ENG36,engineering completion
CRES2,b,0,Assumed,ENG36,engineering completion
RBAL1,a,BMAIN,Assumed,ENG36,engineering completion
RBAL1,b,HTCT,Assumed,ENG36,engineering completion
RBAL2,a,HTCT,Assumed,ENG36,engineering completion
RBAL2,b,0,Assumed,ENG36,engineering completion
CHOKE,a,BMAIN,Assumed,ENG36;W78,engineering completion
CHOKE,b,BSCREEN,Assumed,ENG36;W78,engineering completion
CSCR1,a,BSCREEN,Assumed,ENG36,engineering completion
CSCR1,b,SCMID,Assumed,ENG36,engineering completion
CSCR2,a,SCMID,Assumed,ENG36,engineering completion
CSCR2,b,0,Assumed,ENG36,engineering completion
RSCRBAL1,a,BSCREEN,Assumed,ENG36,engineering completion
RSCRBAL1,b,SCMID,Assumed,ENG36,engineering completion
RSCRBAL2,a,SCMID,Assumed,ENG36,engineering completion
RSCRBAL2,b,0,Assumed,ENG36,engineering completion
RDPI,a,BSCREEN,Assumed,ENG36,engineering completion
RDPI,b,BPI,Assumed,ENG36,engineering completion
CBPI,a,BPI,Assumed,ENG36,engineering completion
CBPI,b,0,Assumed,ENG36,engineering completion
RDDRIVER,a,BPI,Assumed,ENG36,engineering completion
RDDRIVER,b,BDRIVER,Assumed,ENG36,engineering completion
CSDRIVER,a,BDRIVER,Assumed,ENG36,engineering completion
CSDRIVER,b,0,Assumed,ENG36,engineering completion
RDINPUT,a,BDRIVER,Assumed,ENG36,engineering completion
RDINPUT,b,BINPUT,Assumed,ENG36,engineering completion
CSINPUT,a,BINPUT,Assumed,ENG36,engineering completion
CSINPUT,b,0,Assumed,ENG36,engineering completion
RDEXTRA,a,BDRIVER,Assumed,ENG36,engineering completion
RDEXTRA,b,BEXTRA,Assumed,ENG36,engineering completion
CSEXTRA,a,BEXTRA,Assumed,ENG36,engineering completion
CSEXTRA,b,0,Assumed,ENG36,engineering completion
RBIASFEED,a,BIASAC,Assumed,ENG36,engineering completion
RBIASFEED,b,BDIODE,Assumed,ENG36,engineering completion
DBIAS,anode,BNEG,Assumed,ENG36,engineering completion
DBIAS,cathode,BDIODE,Assumed,ENG36,engineering completion
CBIAS1,a,0,Assumed,ENG36,engineering completion
CBIAS1,b,BNEG,Assumed,ENG36,engineering completion
RBIASFILT,a,BNEG,Assumed,ENG36,engineering completion
RBIASFILT,b,BIAS,Assumed,ENG36,engineering completion
CBIAS2,a,0,Assumed,ENG36,engineering completion
CBIAS2,b,BIAS,Assumed,ENG36,engineering completion
RBIASSET,a,BIAS,Assumed,ENG36,engineering completion
RBIASSET,b,BADJ,Assumed,ENG36,engineering completion
BIAS_ADJ,top,BADJ,Assumed,ENG36,engineering completion
BIAS_ADJ,wiper,BADJ,Assumed,ENG36,engineering completion
BIAS_ADJ,bottom,0,Assumed,ENG36,engineering completion
RH1,a,H1,Assumed,ENG36,engineering completion
RH1,b,0,Assumed,ENG36,engineering completion
RH2,a,H2,Assumed,ENG36,engineering completion
RH2,b,0,Assumed,ENG36,engineering completion
LAMP,a,H1,Assumed,ENG36,engineering completion
LAMP,b,H2,Assumed,ENG36,engineering completion
CHASSIS,a,PE,Assumed,ENG36,engineering completion
CHASSIS,b,0,Assumed,ENG36,engineering completion
EARTH,earth,PE,Assumed,ENG36,engineering completion
SPARE,plate,NC_SPARE_P,Assumed,ENG36,engineering completion
SPARE,grid,0,Assumed,ENG36,engineering completion
SPARE,cathode,0,Assumed,ENG36,engineering completion
SPARE,heater_a,H1,Assumed,ENG36,engineering completion
SPARE,heater_b,H2,Assumed,ENG36,engineering completion
